ANNOSCOLASTICO,AREAGEOGRAFICA,REGIONE,PROVINCIA,CODICEISTITUTORIFERIMENTO,DENOMINAZIONEISTITUTORIFERIMENTO,CODICESCUOLA,DENOMINAZIONESCUOLA,INDIRIZZOSCUOLA,CAPSCUOLA,CODICECOMUNESCUOLA,DESCRIZIONECOMUNE,DESCRIZIONECARATTERISTICASCUOLA,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,INDICAZIONESEDEDIRETTIVO,INDICAZIONESEDEOMNICOMPRENSIVO,INDIRIZZOEMAILSCUOLA,INDIRIZZOPECSCUOLA,SITOWEBSCUOLA
202223,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,,,IBFP002452,"Scuola Professionale per il commercio turismo e servizi ""L. Einaudi""",,39100,A952,BOLZANO,,ISTITUTO PROFESSIONALE,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,,,IBFP002457,"Scuola Professionale per l' artigianato l' industria e il commercio "" G. Marconi'""",,39012,F132,MERANO,,ISTITUTO PROFESSIONALE,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,,,IBFP002451,"Scuola Professionale per l' industria e l'artigianato ""L. Einaudi""",,39100,A952,BOLZANO,,ISTITUTO PROFESSIONALE,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202223,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,,,IBFP002454,"Scuola Professionale per l'artigianato, l'industria e il commercio ""E. Mattei""",,39042,B160,BRESSANONE,,ISTITUTO PROFESSIONALE,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202122,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,,,IBFP002452,"Scuola Professionale per il commercio turismo e servizi ""L. Einaudi""",,39100,A952,BOLZANO,,ISTITUTO PROFESSIONALE,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202122,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,,,IBFP002457,"Scuola Professionale per l' artigianato l' industria e il commercio "" G. Marconi'""",,39012,F132,MERANO,,ISTITUTO PROFESSIONALE,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202122,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,,,IBFP002451,"Scuola Professionale per l' industria e l'artigianato ""L. Einaudi""",,39100,A952,BOLZANO,,ISTITUTO PROFESSIONALE,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202122,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,,,IBFP002454,"Scuola Professionale per l'artigianato, l'industria e il commercio ""E. Mattei""",,39042,B160,BRESSANONE,,ISTITUTO PROFESSIONALE,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202021,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,,,IBFP002452,"Scuola Professionale per il commercio turismo e servizi ""L. Einaudi""",,39100,A952,BOLZANO,,ISTITUTO PROFESSIONALE,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202021,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,,,IBFP002457,"Scuola Professionale per l' artigianato l' industria e il commercio "" G. Marconi'""",,39012,F132,MERANO,,ISTITUTO PROFESSIONALE,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202021,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,,,IBFP002451,"Scuola Professionale per l' industria e l'artigianato ""L. Einaudi""",,39100,A952,BOLZANO,,ISTITUTO PROFESSIONALE,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
202021,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,,,IBFP002454,"Scuola Professionale per l'artigianato, l'industria e il commercio ""E. Mattei""",,39042,B160,BRESSANONE,,ISTITUTO PROFESSIONALE,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
201920,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,,,IBFP002452,"Scuola Professionale per il commercio turismo e servizi ""L. Einaudi""",,39100,A952,BOLZANO,,ISTITUTO PROFESSIONALE,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
201920,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,,,IBFP002457,"Scuola Professionale per l' artigianato l' industria e il commercio "" G. Marconi'""",,39012,F132,MERANO,,ISTITUTO PROFESSIONALE,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
201920,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,,,IBFP002451,"Scuola Professionale per l' industria e l'artigianato ""L. Einaudi""",,39100,A952,BOLZANO,,ISTITUTO PROFESSIONALE,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
201920,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,,,IBFP002454,"Scuola Professionale per l'artigianato, l'industria e il commercio ""E. Mattei""",,39042,B160,BRESSANONE,,ISTITUTO PROFESSIONALE,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
201819,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,,,IBFP002452,"Scuola Professionale per il commercio turismo e servizi ""L. Einaudi""",,39100,A952,BOLZANO,,ISTITUTO PROFESSIONALE,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
201819,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,,,IBFP002457,"Scuola Professionale per l' artigianato l' industria e il commercio "" G. Marconi'""",,39012,F132,MERANO,,ISTITUTO PROFESSIONALE,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
201819,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,,,IBFP002451,"Scuola Professionale per l' industria e l'artigianato ""L. Einaudi""",,39100,A952,BOLZANO,,ISTITUTO PROFESSIONALE,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
201819,NORD EST,TRENTINO-ALTO ADIGE,BOLZANO,,,IBFP002454,"Scuola Professionale per l'artigianato, l'industria e il commercio ""E. Mattei""",,39042,B160,BRESSANONE,,ISTITUTO PROFESSIONALE,NO,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile
